Title,URL,Authority,Subjects,Description,Access,Start Date,Location,Reuse,Deposit,Type,Source
Atomic and Molecular Data Information System (AMDIS) (provided by the Nuclear Data Section),http://www-amdis.iaea.org/,"Intemational Atomic Energy Agency, IAEA, Intemational Atomic and Molecular Data Centre network, A+M & PMI Data Centre Network ",,"The Atomic and Molecular Data Unit operates within the Nuclear Data Section of the International Atomic Energy Agency, Vienna, Austria.The primary objective of the Atomic and Molecular Data Unit is to establish and maintain internationally recommended numerical databases on atomic and molecular collision and radiative processes, atomic and molecular structure characteristics, particle-solid surface interaction processes and physico-chemical and thermo-mechanical material properties for use in fusion energy research and other plasma science and technology applications.",open,,Austria,open; other - Disclaimer; Copyrights - http://www.iaea.org/NewsCenter/Multimedia/Imagebank/termofuse.html#privacy,closed,disciplinary/institutional,
Atomic and Molecular Data Research Center (AMDRC),http://amdata.nifs.ac.jp/amdrc/,"National Institute for Fusion Science, Coordination Research Center , NIFS, Coordination Reserach Center",,"Our center is devoted to: Collection, compilation, evaluation, and dissemination of scientific information required for fusion research, and
Investigation of problems arising in the course of development of fusion research. There are atomic and molecular (A & M) numerical databases and bibliographic databases on plasma physics and atomic physics.",open; Copyrights - http://dbshino.nifs.ac.jp/info.html,1998,Japan,open; Copyrights - http://dbshino.nifs.ac.jp/info.html,restricted: other,disciplinary,
Australian Antarctic Data Centre,http://data.aad.gov.au/,"Australian Government, Department of Sustainability, Environment, Water, Population and Communities","Geography, Geographic information systems, Aerial photographs, Maps, Remote-sensing images, Biodiversity, Sea ice, Scientific expeditions","The Australian Antarctic Data Centre (AADC) provides data collection and data management services in Australia's Antarctic Science Program. The AADC manages science data from Australia's Antarctic research, maps Australia's areas of interest in the Antarctic region, manages Australia's Antarctic state of the environment reporting, and provides advice and education and a range of other products.",Login required: http://data.aad.gov.au/aadc/user/user.cfm.,1959,Australia,Creative Commons Attribution 3.0 Unported License (http://creativecommons.org/licenses/by/3.0/),"Closed (Responsible organization only, no outside submissions)",Governmental,
Australian Data Archive,http://www.ada.edu.au/,Consortium of Australian universities managed by Australian National University,"Social sciences, Census, Demography, Census districts, Economics, Political science","ADA provides a national service for the collection and preservation of computer readable data relating to social, political and economic affairs in Australia. It also plays an important role on behalf of the Australian Research Council (ARC) through the management and dissemination of ARC funded data collections arising from Discovery and Linkage grants.",Open and closed; http://www.ada.,1981,Australia,,Open; http://www.ada.edu.au/ada/data-deposit,Federal/Disciplinary,
Australian National Corpus,http://www.ausnc.org.au/,Australian National Corpus Incorporated,"Linguistic analysis (Linguistics), Terms and phrases, Frequency (Linguistics)","The Australian National Corpus collates and provides access to assorted examples of Australian English text, transcriptions, audio and audio-visual materials.  Text analysis tools are embedded in the interface allowing analysis and downloads in *.CSV format.",Open,2012,Australia,Open - http://www.ausnc.org.au/about-1/terms-of-use,Open,Governmental/Disciplinary,
Australian Ocean Data Network (AODN),http://portal.aodn.org.au/webportal/,Integrated Marine Observing System (IMOS),"Climatology, Ocean--Maps, Australia, Marine sciences",Australian Ocean Data Network (AODN) provides data collected by the Australian marine community. AODN's data is searchable via map interface and metadata catalogue. AODN is Australia's exhaustive repository for marine and climate data.,Open,2005,Australia,Open,Closed- Credentialed individuals only,Governmental/Institutional/Disciplinary,
"Australian Repositories for Diffraction ImageS, The (TARDIS)",http://tardis.edu.au/,Monash University,"Molecular biology, Crystallography, Synchrotrons",TARDIS (The Australian Repositories for Diffraction ImageS) points users to crystallography data in external locations (diffraction images) and provides metadata for citation in publications.  TARDIS is scheduled to be replaced by the Bioscience Data Platform (https://www.nectar.org.au/bioscience-data-platform-tardis-cloud).,Open,2010,Australia,Open,By credentialed individuals,Institutional/Disciplinary,
Australian Social Science Data Archive (ASSDA),http://www.assda.edu.au/,"Consoria managed by Australian National University (ANU) [Canberra, AU]","Economic history, Australian states--Politics and government, Social history","ASSDA provides a national service for the collection and preservation of computer readable data relating to social, political and economic affairs within Australia and to make these data available for further analysis",Open,1981,Australia,Open; See http://www.assda.edu.au/data.html for information on accessing data.,See http://www.assda.edu.au/depositing.html for info on depositing data.,governmental / disciplinary,
"Banco de Informaci�n para la Investigaci�n Aplicada en Ciencias Sociales, Repositorio Institucional (BIIACS)",http://biiacs-dspace.cide.edu/,"Centro de Investigacion y Docenia Economicas, A.C.","Jurisprudence, Geography, Political science, Economics, Social sciences","The Information Bank for Applied Research in Social Sciences (BIIACS) Central aims to provide strategic information services for the investigation and resolution of social problems and conduct rigorous analysis of databases and provide advice to decision-makers. To provide efficient access to information, the BIIACS conducted five major activities: collects, protects, preserves, and disseminates cure databases.
The databases are available online and for free. They are organized in communities and collections with diverse content ranging from information on various economic, political and social of Mexico in different periods of federal government until election survey results conducted by higher education institutions as the CIDE and pollsters as Mund Americas.",open; other - BSD Open Source license,2008,Mexico,restricted; CC - http://biiacs-dspace.cide.edu/handle/10089/15952,restricted: other,institutional,
Barbara A. Mikulski Archive for Space Telescopes (MAST) (Multimission Archive at STScI),http://archive.stsci.edu/,"National Aeronautics and Space Administration, NASA, Space Telescope Science Institute , STScI",,"The Mikulski Archive for Space Telescopes (MAST) is a NASA funded project to support and provide to the astronomical community a variety of astronomical data archives, with the primary focus on scientifically related data sets in the optical, ultraviolet, and near-infrared parts of the spectrum. MAST is located at the Space Telescope Science Institute (STScI). ",open; Copyrights - http://www.stsci.edu/institute/Copyright,1997,United States,open; Copyrights - http://www.stsci.edu/institute/Copyright,restricted: other; Guidelines for Contributing High-Level Science Products to the Multimission Archive at STScI  - http://archive.stsci.edu/hlsp/hlsp_guidelines.html,disciplinary,
